6.31692e-04 6.31880e-03 1.98601e-03 4.64800e-04
-1.53921e-05 4.78404e-04 -1.62245e-03 4.64700e-04
-9.90968e-04 3.39923e-03 -3.08960e-03 4.64600e-04
-4.47810e-03 2.94749e-03 -4.52022e-04 4.64500e-04
-6.55885e-04 7.25620e-03 -1.21036e-04 4.64400e-04
1.77467e-03 3.21428e-03 -6.72693e-04 4.64300e-04
-7.05324e-04 5.43315e-03 2.83686e-03 4.64200e-04
1.84723e-03 1.50423e-03 -4.24636e-03 4.64100e-04
-2.96808e-03 5.47899e-03 -4.53128e-04 4.64000e-04
4.52029e-03 1.71048e-03 2.26943e-03 4.63900e-04
3.15011e-06 3.57037e-03 2.56652e-03 4.63800e-04
3.55806e-03 5.52615e-03 -3.17232e-03 4.63700e-04
2.91053e-04 8.13936e-04 -4.53209e-03 4.63600e-04
-1.91247e-03 2.24200e-03 1.68741e-03 4.63500e-04
-1.50568e-03 4.63325e-03 2.11846e-04 4.63400e-04
1.84324e-03 1.25052e-03 4.52137e-03 4.63300e-04
-1.24960e-03 1.78257e-03 2.69860e-03 4.63200e-04
-4.38888e-03 1.86131e-03 9.47535e-05 4.63100e-04
-1.53239e-03 3.55434e-03 7.16608e-04 4.63000e-04
6.09482e-04 3.81246e-03 4.38569e-03 4.62900e-04
-6.37303e-05 5.40460e-03 -3.10517e-03 4.62800e-04
-1.09879e-03 2.44965e-03 3.75344e-03 4.62700e-04
4.44027e-03 3.61751e-03 -2.29875e-03 4.62600e-04
3.32054e-03 3.19253e-03 -2.14354e-03 4.62500e-04
4.42336e-03 4.30958e-03 -1.21790e-04 4.62400e-04
4.53357e-03 3.27240e-03 -6.65397e-04 4.62300e-04
1.75764e-03 6.35784e-03 2.10486e-03 4.62200e-04
-4.34785e-03 2.93325e-03 -3.41123e-03 4.62100e-04
-4.49863e-03 2.77209e-03 4.46299e-03 4.62000e-04
7.33180e-04 6.98261e-03 -1.20158e-03 4.61900e-04
-2.65661e-03 7.06080e-04 4.30773e-03 4.61800e-04
-1.54188e-03 7.22304e-03 3.40988e-03 4.61700e-04
4.37594e-03 5.19568e-03 -5.61379e-04 4.61600e-04
2.21853e-03 3.99053e-03 -4.30120e-03 4.61500e-04
-2.27708e-03 5.24174e-04 8.69691e-04 4.61400e-04
